id,ST_NUM,date1,Id_M,value1
413,1158705911,23/4/2025 00:00:00,20,-2
415,1159843455,23/4/2025 00:00:00,20,-2
416,1160895387,23/4/2025 00:00:00,20,-2
417,1161186265,23/4/2025 00:00:00,20,-2
418,1161053440,23/4/2025 00:00:00,13,-2
420,1151108113,23/4/2025 00:00:00,13,-2
422,1150953592,23/4/2025 00:00:00,13,-2
425,1155186776,23/4/2025 00:00:00,4,-1
426,1153324619,23/4/2025 00:00:00,4,-1
427,1154647711,23/4/2025 00:00:00,4,-1
428,1159845294,23/4/2025 00:00:00,4,-1
429,1150945218,23/4/2025 00:00:00,4,-1
430,1154556516,23/4/2025 00:00:00,4,-1
431,1161681182,23/4/2025 00:00:00,13,-2
432,1163294406,23/4/2025 00:00:00,13,-2
434,1152392328,23/4/2025 00:00:00,13,-2
436,1152834535,23/4/2025 00:00:00,5,-1
437,1148905886,23/4/2025 00:00:00,5,-1
438,1154827156,23/4/2025 00:00:00,24,-3
440,1158198448,23/4/2025 00:00:00,13,-2
441,1153882194,23/4/2025 00:00:00,13,-2
442,1148395708,23/4/2025 00:00:00,13,-2
443,1151938998,23/4/2025 00:00:00,13,-2
444,1159634581,23/4/2025 00:00:00,13,-2
445,1154557571,23/4/2025 00:00:00,13,-2
446,1152681555,23/4/2025 00:00:00,4,-1
447,1160778021,23/4/2025 00:00:00,16,-2
448,1157658095,23/4/2025 00:00:00,16,-2
449,1156949693,23/4/2025 00:00:00,13,-2
450,1158883759,23/4/2025 00:00:00,13,-2
451,1154360711,23/4/2025 00:00:00,13,-2
452,1158916989,23/4/2025 00:00:00,13,-2
453,1156522326,23/4/2025 00:00:00,13,-2
454,1157827302,23/4/2025 00:00:00,13,-2
455,1155205873,23/4/2025 00:00:00,13,-2
456,1156369439,23/4/2025 00:00:00,13,-2
459,1153040447,23/4/2025 00:00:00,13,-2
461,1153831670,23/4/2025 00:00:00,13,-2
463,1149457739,23/4/2025 00:00:00,13,-2
464,1161156078,24/4/2025 00:00:00,13,-2
465,1163159344,24/4/2025 00:00:00,16,-2
466,1153090897,24/4/2025 00:00:00,24,-3
469,1151957394,24/4/2025 00:00:00,13,-2
470,1162100851,24/4/2025 00:00:00,24,-3
471,1162600850,24/4/2025 00:00:00,13,-2
472,1155472879,24/4/2025 00:00:00,18,-2
473,1152392328,24/4/2025 00:00:00,18,-2
474,1155472879,24/4/2025 00:00:00,18,-2
475,1152392328,24/4/2025 00:00:00,18,-2
476,1160667653,24/4/2025 00:00:00,13,-2
477,1162875783,24/4/2025 00:00:00,13,-2
478,1161557069,24/4/2025 00:00:00,13,-2
479,1151940606,24/4/2025 00:00:00,16,-2
482,1151957394,24/4/2025 00:00:00,13,-2
483,1153882194,24/4/2025 00:00:00,13,-2
484,1152445159,24/4/2025 00:00:00,13,-2
485,1153016363,24/4/2025 00:00:00,13,-2
486,1158198448,24/4/2025 00:00:00,13,-2
487,1161557069,24/4/2025 00:00:00,13,-2
488,1162538027,24/4/2025 00:00:00,13,-2
489,1162600850,24/4/2025 00:00:00,13,-2
490,1150953592,24/4/2025 00:00:00,13,-2
493,1162754848,27/4/2025 00:00:00,4,-1
495,1150953592,27/4/2025 00:00:00,13,-2
496,1154830861,27/4/2025 00:00:00,16,-2
497,1163065137,27/4/2025 00:00:00,13,-2
498,1153090897,27/4/2025 00:00:00,13,-2
499,1149609859,27/4/2025 00:00:00,13,-2
500,1162565111,27/4/2025 00:00:00,54,-15
501,1152392328,27/4/2025 00:00:00,8,-1
502,1152834535,27/4/2025 00:00:00,13,-2
503,1148534116,27/4/2025 00:00:00,13,-2
504,1154889768,27/4/2025 00:00:00,13,-2
505,1162100851,27/4/2025 00:00:00,13,-2
507,1152445159,27/4/2025 00:00:00,3,-1
508,1152445159,27/4/2025 00:00:00,13,-2
509,1155312075,27/4/2025 00:00:00,13,-2
510,1155760554,27/4/2025 00:00:00,13,-2
511,1148534116,27/4/2025 00:00:00,13,-2
512,1163065137,27/4/2025 00:00:00,13,-2
513,1162279986,27/4/2025 00:00:00,6,-1
514,1152520381,27/4/2025 00:00:00,13,-2
515,1160824882,27/4/2025 00:00:00,5,-1
516,1158705911,27/4/2025 00:00:00,5,-1
517,1162254278,27/4/2025 00:00:00,6,-1
518,1151858451,27/4/2025 00:00:00,20,-2
519,1159799483,27/4/2025 00:00:00,5,-1
520,1160312458,27/4/2025 00:00:00,5,-1
