serial,dateenter,time,ST_NUM,enter,time1,do,enter2,sentg,sentt
359,7/9/2025 00:00:00,,1163294430,2,,,,,
360,7/9/2025 00:00:00,,1163332271,2,,,,,
361,7/9/2025 00:00:00,,1163440389,2,,,,,
362,7/9/2025 00:00:00,,1163465154,2,,,,,
363,7/9/2025 00:00:00,,1163509589,2,,,,,
364,7/9/2025 00:00:00,,1163527490,2,,,,,
365,7/9/2025 00:00:00,,1163550385,2,,,,,
366,7/9/2025 00:00:00,,1163574518,2,,,,,
367,7/9/2025 00:00:00,,1163663048,2,,,,,
368,7/9/2025 00:00:00,,1163689589,2,,,,,
369,7/9/2025 00:00:00,,1163721978,2,,,,,
370,7/9/2025 00:00:00,,1163722976,2,,,,,
371,7/9/2025 00:00:00,,1163728221,2,,,,,
372,7/9/2025 00:00:00,,1163777558,2,,,,,
373,7/9/2025 00:00:00,,1163808825,2,,,,,
374,7/9/2025 00:00:00,,1163820606,2,,,,,
375,7/9/2025 00:00:00,,1163845652,2,,,,,
376,7/9/2025 00:00:00,,1163854340,2,,,,,
377,7/9/2025 00:00:00,,1163865262,2,,,,,
378,7/9/2025 00:00:00,,1163868159,2,,,,,
379,7/9/2025 00:00:00,,1163915729,2,,,,,
380,7/9/2025 00:00:00,,1163972407,2,,,,,
381,7/9/2025 00:00:00,,1163999657,2,,,,,
382,7/9/2025 00:00:00,,1164008359,2,,,,,
383,7/9/2025 00:00:00,,1164048371,2,,,,,
384,7/9/2025 00:00:00,,1164091736,2,,,,,
385,7/9/2025 00:00:00,30/12/1899 21:27:03,1164123885,3,,,,,
386,7/9/2025 00:00:00,,1164131664,2,,,,,
387,7/9/2025 00:00:00,,1164202879,2,,,,,
388,7/9/2025 00:00:00,,1164239301,2,,,,,
389,7/9/2025 00:00:00,,1164252551,2,,,,,
391,7/9/2025 00:00:00,,1164320283,2,,,,,
392,7/9/2025 00:00:00,,1164397133,2,,,,,
393,7/9/2025 00:00:00,,1164402107,2,,,,,
394,7/9/2025 00:00:00,,1164404475,2,,,,,
395,7/9/2025 00:00:00,,1164444174,2,,,,,
396,7/9/2025 00:00:00,,1164486449,2,,,,,
397,7/9/2025 00:00:00,,1164547489,2,,,,,
398,7/9/2025 00:00:00,,1164590034,2,,,,,
400,7/9/2025 00:00:00,,1164626226,2,,,,,
401,7/9/2025 00:00:00,,1164635102,2,,,,,
402,7/9/2025 00:00:00,,1164654145,2,,,,,
403,7/9/2025 00:00:00,,1164657700,2,,,,,
404,7/9/2025 00:00:00,,1164708909,2,,,,,
405,7/9/2025 00:00:00,,1164711119,2,,,,,
406,7/9/2025 00:00:00,,1164730861,2,,,,,
407,7/9/2025 00:00:00,,1164752378,2,,,,,
408,7/9/2025 00:00:00,,1164794651,2,,,,,
409,7/9/2025 00:00:00,,1164794883,2,,,,,
410,7/9/2025 00:00:00,,1164822619,2,,,,,
411,7/9/2025 00:00:00,,1164834135,2,,,,,
412,7/9/2025 00:00:00,,1164844233,2,,,,,
413,7/9/2025 00:00:00,,1164926535,2,,,,,
415,7/9/2025 00:00:00,,1165002930,2,,,,,
416,7/9/2025 00:00:00,,1165023035,2,,,,,
417,7/9/2025 00:00:00,,1165062926,2,,,,,
418,7/9/2025 00:00:00,,1165090091,2,,,,,
419,7/9/2025 00:00:00,30/12/1899 21:27:27,1165092071,3,,,,,
420,7/9/2025 00:00:00,,1165100213,2,,,,,
421,7/9/2025 00:00:00,,1165100643,2,,,,,
422,7/9/2025 00:00:00,,1165140722,2,,,,,
423,7/9/2025 00:00:00,,1165155977,2,,,,,
424,7/9/2025 00:00:00,,1165173533,2,,,,,
425,7/9/2025 00:00:00,,1165188689,2,,,,,
426,7/9/2025 00:00:00,,1165232784,2,,,,,
427,7/9/2025 00:00:00,,1165244870,2,,,,,
428,7/9/2025 00:00:00,,1165297126,2,,,,,
429,7/9/2025 00:00:00,,1165311695,2,,,,,
430,7/9/2025 00:00:00,,1165311737,2,,,,,
431,7/9/2025 00:00:00,,1165316546,2,,,,,
432,7/9/2025 00:00:00,,1165322619,2,,,,,
433,7/9/2025 00:00:00,,1165370998,2,,,,,
434,7/9/2025 00:00:00,,1165395995,2,,,,,
436,7/9/2025 00:00:00,,1165423185,2,,,,,
437,7/9/2025 00:00:00,,1165427509,2,,,,,
438,7/9/2025 00:00:00,,1165448075,2,,,,,
439,7/9/2025 00:00:00,,1165454958,2,,,,,
440,7/9/2025 00:00:00,,1165465988,2,,,,,
441,7/9/2025 00:00:00,,1165475854,2,,,,,
442,7/9/2025 00:00:00,,1165485465,2,,,,,
443,7/9/2025 00:00:00,,1165509637,2,,,,,
444,7/9/2025 00:00:00,,1165513324,2,,,,,
445,7/9/2025 00:00:00,,1165609510,2,,,,,
446,7/9/2025 00:00:00,,1165617489,2,,,,,
447,7/9/2025 00:00:00,,1165626738,2,,,,,
448,7/9/2025 00:00:00,,1165642164,2,,,,,
449,7/9/2025 00:00:00,,1165706654,2,,,,,
